,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
15,24944.962235089657,24631.078471457648,24375.81497574366,24185.469910615655,24054.59748634166,23971.373908713646,29888.00855550056,35812.76381111748,41793.6271150084,47787.877884573325,47838.86634747732,46432.684147682565,45074.15079453387,43775.09008223912,42540.947800530375,46436.20542997695,50368.148995251504,54299.17435602802,58181.37239748657,61966.81968638313,53092.12785479274,44071.95035731037,34919.44226969202,25670.183429511653
16,25069.54375389448,24753.919934030488,24497.24031927748,24305.83787612149,24174.23672124848,24090.547721842482,30036.55607135134,35990.72990439523,42001.321840312085,48025.375221401984,48076.63992190996,46663.51065881174,45298.29355118051,43992.8777318323,42752.739084081084,46667.52673395521,50619.203047135336,54569.95608179446,58471.611976042586,62275.98247044169,53357.21770723337,44292.16332039108,35094.04708097679,25798.645441713474
17,25205.195833923808,24887.606149003812,24629.32664403881,24436.729605858814,24304.305152293808,24220.090332863812,30198.01011312101,36184.14607505322,42227.0504305504,48283.49981111261,48335.07659685262,46914.41727478332,45541.967586849045,44229.6904835297,42983.09584699541,46919.18347151375,50892.38879496206,54864.66510740539,58787.539443393696,62612.52435053706,53645.87845742623,44532.034652545415,35284.30283600462,25938.681590618813
18,25332.73530730354,25013.379000407534,24753.66175626554,24559.991196881543,24426.82688705954,24342.139540175536,30350.14546329493,36366.4131279043,42439.7639743357,48526.73495478906,48578.59219550109,47150.81375142723,45771.51227029138,44452.71703871753,43199.96849190169,47156.042697096535,51149.44042377537,55141.903987960155,59084.691635191,62929.04704373583,53917.25936982678,44757.45755224169,35463.025296248605,26070.160801569546
19,25468.344279068344,25147.154935836355,24885.945902172356,24691.16146364436,24557.22948342035,24472.05184489236,30512.09366421144,36560.44449761053,42666.205135233606,48785.663839480716,48837.81207858472,47402.44220250693,46015.82666812514,44690.06359204737,43430.72511110561,47408.02848939146,51422.86894940532,55436.76990177116,59400.710698169016,63265.656039654896,54205.801482516246,44997.0858643856,35652.96947031897,26209.857621340354
20,25596.667430087342,25273.671616263335,25010.99241321534,24815.11023871934,24680.421713751344,24594.760889255336,30665.044198091167,36743.683108487,42880.05371185083,49030.19918498267,49082.63420511067,47640.11544736572,46246.62439009277,44914.3269823478,43648.826603154834,47646.25341435713,51681.42777245545,55715.657355217736,59699.64666240403,63584.085461006325,54478.855819632605,45223.93047411484,35832.84517944507,26342.209376191342
21,25726.422406032954,25401.593555872954,25137.42256330296,24940.426509662946,24804.97031429295,24718.819198152945,30819.674904233678,36928.93348446442,43096.250380065154,49277.42007803593,49330.14609655594,47880.40178154572,46479.96254576553,45141.06316825533,43869.338729675175,47887.116614595594,51942.85560665605,55997.64447822649,60001.90883520693,63906.05946737738,54754.95819120626,45453.31429357516,36014.74010926404,26476.052200142967
22,25851.040826504126,25524.405505752125,25258.764343798135,25060.670554190125,24924.45781407613,24837.82351196812,30967.99452492865,37106.61499951918,43303.6156782237,49514.54596244225,49567.55876198624,48110.89711096811,46703.81389795596,45358.61173443783,44080.95694326571,48118.30255152042,52193.819732083146,56268.38152446787,60292.13868265459,64215.22706235929,55020.13997590851,45673.67562484571,36189.52181388691,26604.69922444613
23,25975.3436988766,25647.07458486861,25380.103784427614,25181.01718949561,25044.12022141461,24957.04892023261,31116.63216832102,37284.70701230442,43511.4531803688,49752.19841561423,49805.47058329022,48341.82803053112,46928.011144671014,45576.38388566191,44292.64083216181,48349.42319562846,52444.56747857711,56538.751609188745,60581.87776213339,64523.83313952502,55284.616078727435,45893.26689223181,36363.541640652205,26732.645613519606
24,26111.74904644449,25781.593764612484,25513.08793437348,25312.855173945478,25175.168284146486,25087.592479968476,31279.356621200353,37479.66100113722,43738.97279487307,50012.363847307955,50065.93544811197,48594.67731678099,47173.530271071024,45814.92909599006,44524.60099072007,48602.75771777362,52719.49611470515,56835.26885921368,60899.691148229154,64862.36312035771,55574.86130297488,46134.35589425008,36554.6817542893,26873.257297441483
25,26244.373993685796,25912.45208987779,25642.508520461783,25441.202238829785,25302.77549277379,25214.727161141785,31437.84881370123,37669.55626478069,43960.58591791612,50265.76993870759,50319.62199448358,48840.926899031736,47412.61021800385,46047.17307255199,44750.37321488412,48849.27934369341,52986.97296493468,57123.695782263945,61208.7942036012,65191.599498210475,55857.0488473313,46368.678373204144,36740.39674109296,27009.82198225379
26,26373.22473239279,26039.496357992768,25768.082619192777,25565.678601592772,25426.495310792787,25337.963793192775,31591.458832190965,37853.586257189156,44175.35777298735,50511.36045958555,50565.49929638557,49079.622345036,47644.39716688646,46272.39271553691,44969.397985387346,49088.50668526631,53246.61334274521,57403.7439286241,61508.969998903034,65511.34788878193,56131.224308284654,46596.44626138735,36920.99788329008,27142.701324792783
27,26495.955806213406,26160.4873755814,25887.657517742402,25684.196122114405,25544.28410071541,25455.287161337405,31737.69329181148,38028.77668299058,44379.81421956868,50745.1569064458,50799.571980849796,49306.86361900827,47865.07033918774,46486.826433596216,45177.95099021567,49316.31214377456,53493.87398241141,57670.454675425266,61794.86103174612,65815.88456037999,56392.38196513385,46813.42094574569,37093.05833272153,27269.3128920104
28,26615.804265017883,26278.648909641885,26004.446173039887,25799.959685735885,25659.34118505388,25569.89303524988,31880.543700452858,38199.91513084584,44579.5412939208,50973.54432787776,51028.22720514978,49528.84196933504,48080.62708439831,46696.28018608353,45381.649537066805,49538.80501792779,53735.35772119274,57930.92435974375,62074.0550793207,66113.28464903172,56647.40325209726,47025.284021606785,37261.05426366834,27392.923355863888
