Step,AgentID,EV_sat,Pop,EVs,total_daily_use,pop_daily_use,ev_daily_use
0,41,0.013,11891.0,154,9696.168654744,9542.5275,153.64115474400003
0,42,0.028,7143.0,201,5932.789137036,5732.257500000001,200.531637036
0,43,0.0,1.0,0,0.8025000000000001,0.8025000000000001,0.0
0,44,0.016,11556.0,181,9454.268240316,9273.69,180.578240316
0,45,0.021,5993.0,124,4933.093559664,4809.3825,123.71105966399999
0,46,0.035,6831.0,242,5723.313600312001,5481.8775000000005,241.436100312
0,47,0.0,1223.0,0,981.4575000000001,981.4575000000001,0.0
0,48,0.006,6691.0,41,5410.431963276,5369.5275,40.904463276
0,49,0.013,15925.0,199,12978.348797364,12779.8125,198.536297364
0,50,0.024,9333.0,225,7714.208213100001,7489.732500000001,224.47571309999998
0,51,0.011,30687.0,336,24961.534564896,24626.317500000005,335.217064896
0,52,0.013,19066.0,247,15546.889449492,15300.465,246.42444949199998
0,53,0.0,159.0,0,127.59750000000003,127.59750000000003,0.0
0,54,0.028,7315.0,205,6074.8098163800005,5870.2875,204.52231638
0,55,0.029,2047.0,60,1702.57769016,1642.7175000000002,59.860190159999995
0,56,0.0,4091.0,0,3283.0275,3283.0275,0.0
0,57,0.0,3221.0,0,2584.8525000000004,2584.8525000000004,0.0
0,58,0.0,4720.0,0,3787.8000000000006,3787.8000000000006,0.0
0,59,0.0,66.0,0,52.965,52.965,0.0
0,60,0.012,12986.0,150,10570.915475400001,10421.265,149.6504754
1,0,0.013001944920260642,12639.093412128366,164,10306.490316337015,10142.872463233016,163.617853104
1,1,0.03603058241722699,21037.191411072487,758,17638.579843073672,16882.34610738567,756.233735688
1,2,0.012005291978496825,18421.955302890532,221,15004.104164325652,14783.619130569654,220.48503375599998
1,3,0.020009520681809594,32587.61330534606,652,26802.04041061222,26151.559677540215,650.480733072
1,4,0.022016106862432126,15966.444230662573,352,13164.251277378717,12813.071495106715,351.179782272
1,5,0.007003538246355676,15759.589338830896,110,12756.814126371793,12647.070444411796,109.74368196
1,6,0.01000560522983881,11869.814486637155,119,9644.248836010318,9525.526125526318,118.72271048399999
1,7,0.020010092595536877,20119.200712465114,403,16547.719515661254,16145.658571753256,402.060943908
1,8,0.007004458022337878,15509.41614426482,109,12555.052467896521,12446.306455772521,108.746012124
1,9,0.015007206358566807,19019.3332457225,285,15547.350832952308,15263.014929692306,284.33590326
1,10,0.014008323195767931,14484.05179217155,203,11825.978539925667,11623.45156321767,202.526976708
1,11,0.03201762214194621,23519.184570166097,753,19625.391004066292,18874.145617558297,751.2453865079999
1,12,0.03200925633642027,32160.6381311864,1029,26835.514361521084,25808.912100277084,1026.602261244
1,13,0.03701179587361965,12382.715324144989,458,10394.061832514355,9937.129047626355,456.93278488799996
1,14,0.012007962728935772,20478.11322957792,246,16679.112646392285,16433.685866736283,245.42677965599998
1,15,0.019002808134171118,18002.132214217603,342,14787.914185821628,14446.711101909628,341.203083912
1,16,0.009004965467838704,18125.502558293214,163,14708.335986298305,14545.715803030304,162.620183268
1,17,0.03200926285872104,14801.787191139694,474,12351.329723153605,11878.434220889607,472.89550226399996
1,18,0.00800269733215353,14114.652086082302,113,11439.744990549048,11327.00829908105,112.736691468
1,19,0.029037615890444856,27286.63527757632,792,22687.679320366995,21897.524810254996,790.154510112
1,20,0.014003654560978981,33595.673414538374,470,27429.432738087045,26960.527915167047,468.90482292
