,poi_x,poi_y,poi_name,poi_area,place_name
196,-8875469.877541829,4377976.838431321,Philopateer Christian College,32377.94408289168,Mississauga
197,-8882075.193752615,4376952.7688075,Kindree Public School,32316.08167430826,Mississauga
198,-8868325.1000811,4372703.087351858,Sheridan Park Public School,32282.51211485822,Mississauga
199,-8860610.943588886,4381757.519142481,Woodcreek Park,32178.064866808367,Mississauga
200,-8875345.119650438,4380316.891955857,Old Ridge Park,32015.57901548395,Mississauga
201,-8872869.133171344,4378990.651330625,Swinbourne Meadows,32013.715307964663,Mississauga
202,-8860262.77862914,4377021.866188888,Munden Park Public School,31990.46743261034,Mississauga
203,-8877967.302409634,4377668.332845385,St. Teresa of Avila Separate School,31890.570621860337,Mississauga
204,-8874860.069315502,4375558.558359475,Middlebury Green,31878.655040163147,Mississauga
205,-8870015.368648885,4374553.424235204,St. Mark Separate School,31649.450561102352,Mississauga
206,-8882007.294636019,4376818.365043324,St. Albert of Jerusalem Elementary School,31508.282364417686,Mississauga
207,-8865969.368573233,4380122.343465007,Red Brush Park,31456.388389121425,Mississauga
208,-8864969.508012503,4388621.973806408,Corliss Public School,31397.774864173723,Mississauga
209,-8880856.438244525,4376688.940993957,St. Therese of the Child Jesus Elementary School,31383.04530255174,Mississauga
210,-8868299.293529745,4376164.332271739,Deer Wood Park,31367.754207461443,Mississauga
211,-8859202.37865207,4377621.174943019,Westacres Park,31096.14918842969,Mississauga
212,-8873133.0247706,4372836.253517782,Thorncrest Park,31071.467118391593,Mississauga
213,-8868136.864377165,4378795.106495133,Hawthorne Valley Park,31056.157844479647,Mississauga
214,-8874670.893063104,4375538.148205655,Middlebury Public School,31000.167084294866,Mississauga
215,-8864990.439113252,4376501.943112397,Chris Hadfield Public School,30754.457822298034,Mississauga
216,-8863362.112334603,4377494.267306992,Thornwood Public School,30647.382053390713,Mississauga
217,-8867139.616288453,4379562.791082706,Bristol Road Middle School,30640.1719685827,Mississauga
218,-8861305.640136262,4378493.702537352,Cherry Hill Park,30595.26620850048,Mississauga
219,-8869146.416308844,4378053.861377759,Ceremonial Green Park,30562.067047481214,Mississauga
220,-8878775.126159275,4375501.947120578,Lisgar Green Park,30483.717837073607,Mississauga
221,-8870463.345693527,4376974.749458077,Sherwood Mills Public School,30452.310133698098,Mississauga
222,-8876747.538799975,4374434.387472857,Ruth Thompson Middle School,30259.93255311723,Mississauga
223,-8867740.201432295,4379809.1211821865,Barondale Public School,30118.918700880375,Mississauga
224,-8868088.856201814,4379765.867840001,San Lorenzo Ruiz Elementary School,29884.46875572522,Mississauga
225,-8877530.587087914,4380309.157421772,Samuelson Park,29778.122587008977,Mississauga
226,-8869236.726404,4372058.88557964,Thorn Lodge Public School,29749.586207566448,Mississauga
227,-8866909.792116188,4387664.940764172,Marvin Heights Public School,29623.2833781742,Mississauga
228,-8860062.981131695,4380433.5647896165,Forest Glen Park,29560.434312098427,Mississauga
229,-8859121.606900191,4377566.885162102,Westacres Public School,29447.14774740257,Mississauga
230,-8881857.925466016,4376927.113603075,Stonewood Park,29362.620628871773,Mississauga
