,poi_x,poi_y,poi_x_km,poi_y_km,poi_name,poi_area,place_name
5144,-79.50615598548018,43.677871583531086,-8850.704790459638,4848.243745771951,Tuminos Garden Centre/Terra Verde Garden Supply and Floral Design,90.52188468538411,Toronto
5145,-79.41364827110812,43.773525144988845,-8840.406739188027,4858.861291093762,Hakata Shoryuken Ramen,89.89499803146293,Toronto
5146,-79.46573749662238,43.649850868551646,-8846.2053638615,4845.133446409232,High Park Pool & Artificial Ice Rink,89.5948579740994,Toronto
5147,-79.37289532310729,43.65078243807839,-8835.870080263627,4845.236850626701,Pavilion,88.48206934511188,Toronto
5148,-79.34242170868409,43.660891167940626,-8832.477727032421,4846.35891964141,Brick Street Bakery,88.32161447144006,Toronto
5149,-79.45182170279732,43.70010400477948,-8844.6562437771,4850.711544530523,Xtreme Beauty,88.24147684079031,Toronto
5150,-79.51171016710579,43.64710795850438,-8851.323087512383,4844.828983393986,Fido,87.22854533048822,Toronto
5151,-79.18743358012557,43.823137739411045,-8815.22429357316,4864.368289074626,Jaguar,87.11883350810442,Toronto
5152,-79.43723655781767,43.64981146690373,-8843.03261085282,4845.129072826314,Domino's,85.84648039957469,Toronto
5153,-79.3875708622268,43.64264341683071,-8837.503775953948,4844.333419268209,CN Tower tickets,84.80381435121495,Toronto
5154,-79.48093990033537,43.66576402790591,-8847.897710645233,4846.899807097556,Feed It Forward,84.38195141249008,Toronto
5155,-79.39294942081777,43.66583807645032,-8838.102522474856,4846.908026485986,48th Highlander's Regimental Memorial,83.02364043620032,Toronto
5156,-79.39611144489602,43.698543986978294,-8838.45452215727,4850.5383825545905,Burrito Boyz,82.47782614167345,Toronto
5157,-79.1873221875827,43.82011382286649,-8815.211893243893,4864.03263433818,Twiga Zoomo,81.68929998759562,Toronto
5158,-79.3722749268449,43.62015034354272,-8835.8010171313,4841.836688133242,Toronto Island Mine Coaster,80.21567679527723,Toronto
5159,-79.4204273532355,43.647866680093145,-8841.161393389528,4844.913201490339,I Deal Coffee,79.6424078050117,Toronto
5160,-79.41344444628568,43.77281558322177,-8840.384049204968,4858.782529737617,Cheese Garden,79.44733994948722,Toronto
5161,-79.41345612213384,43.77286248060587,-8840.38534897206,4858.787735347252,i cosmetic,78.18417927957466,Toronto
5162,-79.46472829152694,43.64856909598801,-8846.09301814107,4844.991169654669,All Star Café,76.79428195417756,Toronto
5163,-79.55510512653144,43.631279773652174,-8856.153857790607,4843.072054875392,Sushi K Express,76.28598439518774,Toronto
5164,-79.53984823525558,43.64056804033124,-8854.455445396887,4844.1030524767675,Westend Rehab & Physiotherapy,76.07171757776887,Toronto
5165,-79.55504542671228,43.631347023526,-8856.147211947038,4843.079519611386,Anna Bella,75.87510896889339,Toronto
5166,-79.5553684394311,43.63091712395332,-8856.18317004591,4843.0318007588185,Cloverdale Nails,74.82925967275366,Toronto
5167,-79.44115562015745,43.692587013399844,-8843.468884791548,4849.877158487383,Hair Pleasure,74.01677841171131,Toronto
5168,-79.44107070423064,43.692547693544256,-8843.459431865658,4849.8727939834125,Supernatural,73.92323028583422,Toronto
5169,-79.53227450000311,43.63670199477174,-8853.612329614847,4843.673921419663,Green River Spa,72.87171928643093,Toronto
5170,-79.4599808886409,43.670365535199934,-8845.564532504393,4847.410574407193,Davenport Mini Mart,72.77850531037991,Toronto
5171,-79.44838620000066,43.66166449476685,-8844.273800170273,4846.44475891912,Tom's Variety,72.25396864081533,Toronto
5172,-79.41408900199676,43.772833253427926,-8840.45580179128,4858.7844911305,HeyNoodles,71.19803203823099,Toronto
5173,-79.35715024695344,43.65707528784322,-8834.117322641103,4845.935356950597,Fusilli Ristorante,70.78485540758794,Toronto
5174,-79.36233592548933,43.62293779513387,-8834.694597561398,4842.14609525986,Y Day Camp Private Pool,69.04491030120931,Toronto
5175,-79.50516380000421,43.70687399480259,-8850.594339380268,4851.463013423087,Nikos Greek Grill,68.17584018224791,Toronto
5176,-79.44676920000641,43.639508744777615,-8844.093794113915,4843.985470670315,Sake Sushi,67.84853277389765,Toronto
5177,-79.53739233898656,43.641153919871044,-8854.182052568323,4844.168085105686,Dr. T. Pater,67.66677617490001,Toronto
5178,-79.33739635113113,43.709431130724155,-8831.918299204268,4851.7468555103815,E.T. Seton Washrooms,67.62735368993269,Toronto
5179,-79.19518397012213,43.76104629066676,-8816.087074737965,4857.476138264011,J C Auto Sales,67.33978533767475,Toronto
5180,-79.29999744047036,43.689328130983384,-8827.755015070601,4849.515422539155,Coleman Park Splashpad,64.74878642168798,Toronto
5181,-79.41873150000134,43.73158449480599,-8840.97260931165,4854.205878923465,Orchard Grove Animal Clinic,63.97670279891284,Toronto
5182,-79.28525315000438,43.78430829483549,-8826.113665911638,4860.05822072674,M&M Auto Sales,63.79682558708387,Toronto
5183,-79.44675415000647,43.639466844778056,-8844.09211873287,4843.980819770364,Roncesvalles Animal Hospital,63.77420589353073,Toronto
5184,-79.35387120000264,43.66826154478523,-8833.752295855495,4847.17703147116,Dr. Sun Yat-Sen Monument,62.077431519039415,Toronto
5185,-79.45341502584513,43.70545695640684,-8844.833614092106,4851.30572216116,Cars in Motion,61.57533507104037,Toronto
5186,-79.40281504999861,43.66432574471302,-8839.200774180896,4846.740157663145,Spadina Ave & Sussex,61.310580531496655,Toronto
5187,-79.55425014243201,43.63086772856857,-8856.058680105674,4843.026317871111,Judy's Jewelry and Accessories,60.94987516229532,Toronto
5188,-79.44681385000642,43.63963289477857,-8844.098764596565,4843.9992513204215,Tdot Jerk,59.52485056169677,Toronto
5189,-79.18236424061628,43.82315321593722,-8814.659969629645,4864.370006969031,Mandarin Express,59.15847731098386,Toronto
5190,-79.51865437045105,43.60376273131068,-8852.09612317298,4840.017663175486,Rocky's Via Motors,57.3658598914461,Toronto
5191,-79.33267177427278,43.66285710314284,-8831.39235458382,4846.577138448855,Meating on Queen,53.893814338607974,Toronto
5192,-79.33987109505941,43.65657046290219,-8832.193790173109,4845.879321382143,Fieldhouse,53.30175359914133,Toronto
5193,-79.42399110677322,43.63068674378201,-8841.558113997102,4843.006228559803,Scadding Cabin,49.89694938486694,Toronto
5194,-79.39606225001515,43.63973179477926,-8838.449045733936,4844.010229220497,Bike Share Toronto,49.314165678829255,Toronto
5195,-79.35329729424302,43.66520728262122,-8833.688408092426,4846.838008370955,Toronto Chinese Archway,47.81600258987004,Toronto
5196,-79.5539678571546,43.63096206751721,-8856.027255826308,4843.03678949441,International News,46.77898474332929,Toronto
5197,-79.38356765002568,43.65238434477581,-8837.058134368508,4845.414662270115,TORONTO,45.34998514568909,Toronto
5198,-79.4327927351104,43.70307143101607,-8842.537920065224,4851.040928842784,Basketball court,41.8976729878685,Toronto
5199,-79.39245122042875,43.664464992600585,-8838.04706230935,4846.755614178665,Equestrian Statue of Edward VII,40.416997114304515,Toronto
5200,-79.35444500000305,43.64008024477712,-8833.81617184534,4844.04890717026,Cabana Pool Bar,39.49225641175329,Toronto
5201,-79.35543673314126,43.65332764489017,-8833.926572570019,4845.519368582809,The Water Guardians,38.951936138441944,Toronto
5202,-79.41986095633334,43.63639369561957,-8841.098341519983,4843.639700213772,Exhibition GO (Atlantic Ave),38.2312632311814,Toronto
5203,-79.42530648972159,43.63356083322452,-8841.704543742297,4843.325252487922,Dufferin Gate Arch,37.99051068897942,Toronto
5204,-79.36645566224799,43.650586164442345,-8835.153210777107,4845.2150642531005,antique firehose,36.09362396452724,Toronto
5205,-79.48964434294771,43.61368216624413,-8848.866697901281,4841.118720453099,Platsis Parkette,34.4186112347758,Toronto
5206,-79.36164239999944,43.660130194755006,-8834.617393610337,4846.274451617805,Dundas St E & Regent Park Blvd,32.87520110823752,Toronto
5207,-79.3995475999995,43.667122744754145,-8838.837038379543,4847.0506246677105,St George St & Bloor St W,32.57580114609862,Toronto
5208,-79.4875303036745,43.754921889554666,-8848.63136093535,4856.796329740568,Tunnel Emergency Exit,31.456084192373606,Toronto
5209,-79.43363870000128,43.64707944478303,-8842.632093722843,4844.825818370917,McCormick Park Cafe,29.928431746621783,Toronto
5210,-79.38531489254734,43.613669601219165,-8837.252639153263,4841.1173257353275,Gibraltar Point Lighthouse,29.45441911888642,Toronto
5211,-79.40490549822174,43.63586888711285,-8839.433484967542,4843.581446469526,Queen's Wharf Lighthouse,29.162086327126655,Toronto
5212,-79.42566794032894,43.63344743396333,-8841.744780785357,4843.31266516993,Dufferin Gate,26.89699989746027,Toronto
5213,-79.40501210790882,43.66583851708106,-8839.445352864517,4846.908075395998,Robert St & Bloor St W,26.78914715529541,Toronto
5214,-79.43421936072643,43.75280586419094,-8842.696733455427,4856.561450925195,Dr. Jose P. Rizal Monument,26.75689024774014,Toronto
5215,-79.33042279998504,43.67742405423529,-8831.141996517135,4848.194070020117,Greenwood Variety,25.05172496739886,Toronto
5216,-79.39785800000163,43.66208614479096,-8838.64895041818,4846.491562071797,Willcocks St & St. George St,24.219573365288806,Toronto
5217,-79.46504139152914,43.63595678969142,-8846.127872746416,4843.591203655747,Lake Shore Blvd W & Ellis Ave,23.54104492988639,Toronto
5218,-79.3937619499993,43.66816399475896,-8838.192974035872,4847.166203418245,Queens Park & Bloor St W,22.70473725525218,Toronto
5219,-79.44616935350054,43.65159538572633,-8844.027018601033,4845.327087815623,Snacks Plus,22.521699746023288,Toronto
5220,-79.43173129999967,43.637845544760246,-8842.419760047263,4843.800855468387,King St W & Cowan Ave,22.101825205355915,Toronto
5221,-79.42727749999962,43.64319334475629,-8841.923958577458,4844.394461267948,Queen St W & Gladstone Ave,21.578775720860357,Toronto
5222,-79.56597498000554,43.7641754781199,-8857.363900749197,4857.823478071309,Knights of Colombus Statue,21.04734513160872,Toronto
5223,-79.4195443499997,43.63826424476064,-8841.063096586317,4843.847331168431,Hanna Ave & Liberty St,21.041707492811188,Toronto
5224,-79.37222601710167,43.61679724387608,-8835.795572449775,4841.464494070245,Bill's Beach Bar,21.001360822307337,Toronto
5225,-79.566600772259,43.76421166756659,-8857.433564568642,4857.827495099892,private pool,19.721515482581434,Toronto
5226,-79.39336999999895,43.65303724473863,-8838.149341769884,4845.487134165987,Beverley St & Grange Ave,19.60860296189638,Toronto
5227,-79.39551011450014,43.65769439449975,-8838.38758145627,4846.004077789472,Beverley St & College Street,18.803173911138593,Toronto
5228,-79.4427431000015,43.646692444785806,-8843.645604635267,4844.7828613712245,Wright Ave & Sorauren Ave,17.954358415167878,Toronto
5229,-79.41647289999989,43.640938344771456,-8840.721179700888,4844.144156269632,King St W / Douro Street,17.559357465075642,Toronto
5230,-79.40281840353538,43.667067488444864,-8839.201147499962,4847.04449121738,Madison Ave & Bloor St,15.480524859105,Toronto
5231,-79.44022403179483,43.65011347139093,-8843.365179443432,4845.162595324393,Lansdowne Avenue,13.313909729480574,Toronto
5232,-79.41122726928826,43.76869025076007,-8840.137230844439,4858.324617834368,Fire Hose Tower,13.064984102234549,Toronto
5233,-79.39544130000301,43.64902634478675,-8838.379920957635,4845.041924271329,Queen St W & Spadina Ave,11.23537486035692,Toronto
5234,-79.3968069972696,43.709879565685185,-8838.531951743049,4851.796631791056,Mindshadows,9.814847666088772,Toronto
5235,-79.4265477500006,43.653501144789615,-8841.842722077816,4845.538627071647,Dovercourt Road,6.858701322954425,Toronto
5236,-79.4357804726396,43.649836196939916,-8842.870517994714,4845.131817860331,Brock Avenue,6.0205706772584175,Toronto
5237,-79.42986081890693,43.652799243568346,-8842.211536221539,4845.4607160360865,Rusholme Park,5.865080923040457,Toronto
5238,-79.41336862628484,43.64523746353916,-8840.375608846654,4844.621358452847,Strachan Avenue,5.758282653511787,Toronto
5239,-79.43272555000044,43.65244404478945,-8842.5304409516,4845.421288971629,Dufferin Street,5.170601518485477,Toronto
5240,-79.41106716587025,43.63942787467272,-8840.119407971843,4843.976494088672,East Liberty Street,5.133245923051339,Toronto
5241,-79.43528889263492,44.29453144919687,-8842.815794817012,4916.692990860853,The ROC,603492.5359998138,Georgina
5242,-79.34531342340262,44.25649010431333,-8832.799635606603,4912.470401578779,Lyndhurst Golf Course,350282.88825409976,Georgina
5243,-79.47904619067147,44.25893058718377,-8847.68690099174,4912.741295177399,Orchard Beach Golf Club,252607.2294027232,Georgina
5244,-79.35723659325723,44.31918565021842,-8834.126934797987,4919.429607174245,The Briars Golf Club,250796.61063142543,Georgina
5245,-79.35947825868972,44.26649463438741,-8834.376479235598,4913.580904417003,Harmony Ranch Recreation Club,199828.1512135791,Georgina
5246,-79.20949313890176,44.334607615253944,-8817.679985715684,4921.141445293188,Pines of Georgina Golf Course,197543.89205895524,Georgina
5247,-79.35145364182615,44.31532883765165,-8833.48317086173,4919.001500979333,Briars Golf Club,161313.97193148584,Georgina
5248,-79.34889489227777,44.2567375628721,-8833.198328303253,4912.497869478802,Lyndhurst Golf Course Trailer Park,139196.18867989953,Georgina
5249,-79.3169349864779,44.32960650289279,-8829.640519629707,4920.5863218211,Sibbald Point - Butternut Campground,128883.34790834294,Georgina
5250,-79.39456461722393,44.31879922494664,-8838.282327753985,4919.3867139690765,The Jackson's Point Conference Centre,115229.71263902962,Georgina
5251,-79.47587731242835,44.19183135379152,-8847.334138296836,4905.293280270859,West Park,110880.36331373992,Georgina
5252,-79.32037381067279,44.32616598564795,-8830.023332977906,4920.204424406922,Sibbald Point - Crossroads Campground,109397.64251586366,Georgina
5253,-79.32544476502946,44.32506064495596,-8830.587836687844,4920.081731590111,Sibbald Point - Hardwoods Campground,108277.82895581084,Georgina
5254,-79.31730870824707,44.32601969193947,-8829.682122710772,4920.188185805281,Sibbald Point - Hemlock Campground,97149.26024231894,Georgina
5255,-79.31475281313834,44.32594954647336,-8829.397597911373,4920.180399658543,Sibbald Point - Sugarbush Campground,91057.37446291905,Georgina
5256,-79.45675179136397,44.22351409356877,-8845.205066166429,4908.8100643861335,Keswick High School,73766.12094423246,Georgina
5257,-79.3640709361147,44.30152877716534,-8834.887740679223,4917.469694265353,Sutton District High School,67865.85557216071,Georgina
5258,-79.3209229140492,44.32937282184603,-8830.084459714872,4920.560383224909,Sibbald Point - Lakeside Campground,67159.0580480638,Georgina
5259,-79.38565310481044,44.31940166006021,-8837.290289280603,4919.453584266683,De La Salle Park,63737.64826574333,Georgina
5260,-79.32503248248672,44.328311595538366,-8830.541940982905,4920.442587104759,Sibbald Point - Beavermeade Campground,57603.06208625556,Georgina
5261,-79.32833577500489,44.3277109582547,-8830.909666809319,4920.375916366272,Sibbald Point - Cedargrove Campground,51480.863008020235,Georgina
5262,-79.46138284092238,44.21200083496132,-8845.72059923432,4907.532092680707,Our Lady of the Lake Catholic College,49186.96395980865,Georgina
5263,-79.47324701350092,44.24483610471474,-8847.041330789936,4911.176807623337,Lakeside Public School,35488.939829949195,Georgina
5264,-79.24245566986106,44.325676048236254,-8821.349407624602,4920.150041354224,Morning Glory Public School,33445.86637616352,Georgina
5265,-79.43395106008106,44.29480405470491,-8842.666865959283,4916.723250072245,Georgina Pioneer Village,33058.60226901485,Georgina
5266,-79.32346143982834,44.32593895269243,-8830.36705094313,4920.17922374886,Sibbald Point - Horseshoe Campground,32367.007269432426,Georgina
5267,-79.45793302139639,44.214817132748486,-8845.336561874867,4907.844701735082,Jersey Public School,32204.75616869844,Georgina
5268,-79.46177111433335,44.24046266193285,-8845.763822218702,4910.691355474547,W. J. Watson Public School,32005.995536331375,Georgina
5269,-79.46991055557427,44.245460922917566,-8846.669912957084,4911.24616244385,Keswick Public School,31615.28159686316,Georgina
5270,-79.47751518162481,44.27817333655404,-8847.516467533655,4914.8772403574985,Deer Park Public School,29581.73277276205,Georgina
5271,-79.35570068655153,44.313390478444276,-8833.955956127602,4918.786343107315,Briar Hill Cemetary,28531.566224641396,Georgina
5272,-79.47674504753772,44.27636315775881,-8847.430735436947,4914.676310511228,Keswick Cemetery,28286.727889772246,Georgina
5273,-79.32839015561909,44.326278014354116,-8830.915720513673,4920.216859593307,Sibbald Point - Meadowlands Campground,28224.18225732124,Georgina
5274,-79.44873768136232,44.221466976029326,-8844.312927426934,4908.582834339255,Fairwood Public School,25214.251916674664,Georgina
5275,-79.45870001487086,44.212850488903605,-8845.42194435544,4907.626404268301,Prince of Peace Catholic Elementary School,24227.786610135885,Georgina
