,traffic_x,traffic_y,traffic_x_km,traffic_y_km,traffic_area,place_name
38,-79.49070475611296,43.766740409134165,-8848.98474415525,4858.108185413892,13156.474747981036,Toronto
39,-79.30336729372657,43.82367850305975,-8828.130150504934,4864.428313839632,12507.85789210907,Toronto
40,-79.45628432933395,43.724672528229426,-8845.153027825785,4853.438650633467,12296.182841285321,Toronto
41,-79.19072079113634,43.78870455290075,-8815.59022919009,4860.546205371983,12220.989203706007,Toronto
42,-79.47796232792932,43.74626262219145,-8847.56624430742,4855.835151063251,11564.64115501643,Toronto
43,-79.41670986099614,43.630411397124,-8840.74755843595,4842.975665080764,10969.503187523176,Toronto
44,-79.46972002030135,43.67315327392544,-8846.648702379967,4847.720013405724,10956.392836220646,Toronto
45,-79.3579929535056,43.62968777485779,-8834.211133577197,4842.895343009215,10780.384875983418,Toronto
46,-79.284516173969,43.78575975646389,-8826.031625002403,4860.219332967492,10051.448492202244,Toronto
47,-79.60945381209017,43.73107081711024,-8862.20400781569,4854.148860699237,9857.074958615915,Toronto
48,-79.45639771480015,43.72580595630598,-8845.165650009267,4853.564461149964,9777.579558503809,Toronto
49,-79.36248111006653,43.76830090060581,-8834.710759653715,4858.281399967244,9755.125344037098,Toronto
50,-79.47073536699627,43.6748403697548,-8846.761731789391,4847.907281042782,9732.646076110585,Toronto
51,-79.52105076390808,43.60343346841951,-8852.362892089011,4839.981114994565,9486.089091670348,Toronto
52,-79.33050390574753,43.771065068962024,-8831.151025291721,4858.588222654785,9477.483676198917,Toronto
53,-79.40783828230647,43.6358382428451,-8839.759965424639,4843.578044955806,9451.17418366781,Toronto
54,-79.38430425465934,43.63827542792158,-8837.140133932933,4843.848572499295,9117.72829513932,Toronto
55,-79.24942687330052,43.77524929840561,-8822.125448962686,4859.052672123023,8923.914457666247,Toronto
56,-79.19173634895574,43.78767889154703,-8815.703282102102,4860.432356961721,8865.606592084961,Toronto
57,-79.45260546559612,43.72815933787747,-8844.743493035625,4853.8256865043995,8794.829937427769,Toronto
58,-79.26424738883958,43.73409757379215,-8823.77528357301,4854.484830690929,8646.797946631763,Toronto
59,-79.42878114977691,43.632290553403806,-8842.091346374315,4843.184251427822,8615.486241458646,Toronto
60,-79.3459238266769,43.776178719358974,-8832.867586309498,4859.155837848846,8429.297105379688,Toronto
61,-79.4345310161875,43.65629280424356,-8842.73142725301,4845.848501271035,8126.733602728328,Toronto
62,-79.352231710438,43.7963181539837,-8833.56978623767,4861.391315092191,8124.054779677262,Toronto
63,-79.37743405654989,43.729716721604845,-8836.37533660919,4853.998556098138,7893.461049244479,Toronto
64,-79.35036177659285,43.796717524402624,-8833.361623332092,4861.435645208691,7689.855485174638,Toronto
65,-79.52338663955028,43.64687334183438,-8852.622924101377,4844.802940943616,7657.0930718418795,Toronto
66,-79.33794779367628,43.80472259606253,-8831.979686339837,4862.324208162941,7476.649195804992,Toronto
67,-79.37773395266991,43.722944193440355,-8836.408721345168,4853.246805471879,7287.6503438453665,Toronto
68,-79.18585167096663,43.82533657180536,-8815.048193863675,4864.612359470395,7281.943482202014,Toronto
69,-79.41639261626005,43.67379418591063,-8840.712242434685,4847.79115463608,7226.637796803029,Toronto
70,-79.34653029633024,43.79884934480701,-8832.935099117778,4861.672277273578,7104.690056052822,Toronto
71,-79.38787443563838,43.63899338923801,-8837.5375700497,4843.928266205419,7099.484791886919,Toronto
72,-79.45467102973386,43.72394893303071,-8844.973433701003,4853.358331566409,7041.178311263331,Toronto
73,-79.3642127133697,43.766247705376465,-8834.903523465027,4858.053495296787,6813.207613475395,Toronto
74,-79.35368416932124,43.65206462419622,-8833.73147541301,4845.379173285781,6719.472553489018,Toronto
75,-79.51437570162942,43.69996850047224,-8851.619817481089,4850.696503552418,6447.775994730466,Toronto
76,-79.60716743243026,43.730445644162884,-8861.949485745568,4854.07946650208,6403.526241815893,Toronto
77,-79.34916861542318,43.79711456165188,-8833.228799437524,4861.479716343359,6385.536630997045,Toronto
78,-79.34339338958925,43.648433925406884,-8832.585895522465,4844.976165720164,6356.766239715849,Toronto
79,-79.6075422132279,43.72991187981297,-8861.991206718743,4854.02021865924,5969.8600392342305,Toronto
80,-79.25108320196914,43.77448402099764,-8822.309833126406,4858.9677263307385,5953.388368637382,Toronto
81,-79.37642599504338,43.72224854546969,-8836.263118194223,4853.169588547135,5946.665242444741,Toronto
82,-79.33659326989468,43.802066071410614,-8831.828899397946,4862.029333926578,5790.039384446706,Toronto
83,-79.41611357863228,43.63402386402081,-8840.681179686924,4843.37664890631,5762.9225170292375,Toronto
84,-79.34562281125488,43.797320266865604,-8832.834076971705,4861.502549622082,5296.272233532123,Toronto
85,-79.29687708986874,43.70853744973436,-8827.407654521277,4851.647656920513,5222.130046764051,Toronto
86,-79.51627209441712,43.59328443144976,-8851.830925822607,4838.854571890924,5201.537224542152,Toronto
87,-79.44963801224306,43.726930121921505,-8844.41315316091,4853.6892435332875,5192.967412882786,Toronto
88,-79.39350084090228,43.68944300333179,-8838.163907110082,4849.528173369828,5114.908948252993,Toronto
89,-79.42707307531933,43.632493770746436,-8841.901201817624,4843.206808552854,5044.5253914931645,Toronto
90,-79.45068766314924,43.72775792512275,-8844.530001349436,4853.781129688626,4959.826315695354,Toronto
91,-79.4247375334482,43.63143426447533,-8841.641206960987,4843.089203356762,4948.492328772365,Toronto
92,-79.46529770285146,43.64576339661416,-8846.156405579128,4844.679737024171,4898.079496896285,Toronto
