,x,y,x_km,y_km,Station_Name,City
145,-79.288815,43.867984,-8826.510174615,4869.346224,FLO - Cadillac Fairview - Markville Mall,Markham
148,-78.165404,43.959072,-8701.450938684,4879.456991999999,Lakefront Utilities,Cobourg
149,-79.760364,43.686934,-8879.003480844,4849.249674,Garden Square,Brampton
150,-79.383897,43.651911,-8837.094797937001,4845.362121,Nathan Phillips Square,Toronto
151,-79.682256,44.301672,-8870.308420176,4917.485592,Audi - Barrie,Innisfil
152,-79.706739,43.855769,-8873.033892219,4867.990359,Bolton GM,Bolton
153,-79.7837571825256,43.6170250692973,-8881.607633315933,4841.4897826920005,Survalent Technology Corporation,Brampton
155,-79.258869,43.790589,-8823.176555949,4860.755378999999,Agincourt Nissan,Scarborough
156,-79.317741403856,43.7418688550142,-8829.730290818654,4855.347442906575,Egate Communications,Toronto
157,-79.608508,43.773443,-8862.098719068,4858.852173,Alta Nissan,Woodbridge
158,-79.378115,43.648998,-8836.451139915,4845.038778,One King West Hotel & Residence,Toronto
159,-79.450705,44.006779,-8844.531931305,4884.752469,Aurora Town Hall,Aurora
160,-79.624115,43.631541,-8863.836105915001,4843.101051,Addison Chevrolet,Mississauga
161,-76.536514,44.252328,-8520.121274993999,4912.008408,Ambassador Hotel and Conference Center,Kingston
162,-79.812197,43.334676,-8884.773582237,4810.149036,Discovery Ford,Burlington
163,-79.6465758595245,45.1058375551899,-8866.336471258128,5006.747968626079,Sherwood Inn,Port Carling
164,-79.380222,43.656586,-8836.685693262,4845.8810459999995,Toronto Parking Authority - Yonge Dundas Square,Toronto
165,-79.380338,43.64988,-8836.698606498,4845.1366800000005,The St. Regis Toronto,Toronto
166,-79.387024,43.645488,-8837.442898704,4844.649168,The Ritz-Carlton,Toronto
167,-79.588823,43.716212,-8859.907365183,4852.499532,Leggat Chevrolet,Etobicoke
168,-78.915257,43.886194,-8784.925324496999,4871.367534,Nurse Chevrolet,Whitby
169,-79.283638,43.72815,-8825.933865797999,4853.82465,Donway Ford,Toronto
170,-79.378414,43.647488,-8836.484424894,4844.871168000001,Brookfield Place,Toronto
171,-79.360063,43.652671,-8834.441573222999,4845.446481,Volvo of Toronto,Toronto
172,-79.456773,43.9997,-8845.207427133,4883.9667,Green Storage,Aurora
173,-79.448777,44.596797,-8844.317304417,4950.244467,Orillia Storage,Orillia
174,-79.607736,43.659886,-8862.012779256,4846.247346,Nissan Canada Financial Services Inc,Mississauga
